FINAL_HP,GAME,N_TURN,N_PLAY,ENERGY,PLAY,ATTACK,VULNERABLE,DEFEND,PLAYER_HP,PLAYER_BLOCK,MONSTER_HP,MONSTER_ATTACK,MONSTER_BLOCK,MONSTER_VULNERABLE
65,0,1,0,3,DEFEND,0,0,5,72,0,40,12,0,0
65,0,1,1,2,BASH,8,2,0,72,5,40,12,0,0
65,0,2,0,3,STRIKE,6,0,0,65,0,32,0,6,1
65,0,2,1,2,STRIKE,6,0,0,65,0,29,0,0,1
65,0,2,2,1,STRIKE,6,0,0,65,0,20,0,0,1
65,0,3,0,3,STRIKE,6,0,0,65,0,11,16,0,0
65,0,3,1,2,STRIKE,6,0,0,65,0,5,16,0,0
65,1,1,0,3,DEFEND,0,0,5,72,0,40,12,0,0
65,1,1,1,2,BASH,8,2,0,72,5,40,12,0,0
65,1,2,0,3,STRIKE,6,0,0,65,0,32,0,6,1
65,1,2,1,2,STRIKE,6,0,0,65,0,29,0,0,1
65,1,2,2,1,STRIKE,6,0,0,65,0,20,0,0,1
65,1,3,0,3,STRIKE,6,0,0,65,0,11,11,5,0
65,1,3,1,2,STRIKE,6,0,0,65,0,10,11,0,0
65,1,3,2,1,STRIKE,6,0,0,65,0,4,11,0,0
58,2,1,0,3,DEFEND,0,0,5,72,0,40,12,0,0
58,2,1,1,2,DEFEND,0,0,5,72,5,40,12,0,0
58,2,1,2,1,STRIKE,6,0,0,72,10,40,12,0,0
58,2,2,0,3,BASH,8,2,0,70,0,34,0,6,0
58,2,2,1,1,STRIKE,6,0,0,70,0,32,0,0,2
58,2,3,0,3,DEFEND,0,0,5,70,0,23,11,5,1
58,2,3,1,2,DEFEND,0,0,5,70,5,23,11,5,1
58,2,3,2,1,STRIKE,6,0,0,70,10,23,11,5,1
58,2,4,0,3,DEFEND,0,0,5,69,0,19,16,0,0
58,2,4,1,2,STRIKE,6,0,0,69,5,19,16,0,0
58,2,4,2,1,STRIKE,6,0,0,69,5,13,16,0,0
58,2,5,0,3,STRIKE,6,0,0,58,0,7,11,5,0
58,2,5,1,2,STRIKE,6,0,0,58,0,6,11,0,0
63,3,1,0,3,DEFEND,0,0,5,72,0,40,12,0,0
63,3,1,1,2,DEFEND,0,0,5,72,5,40,12,0,0
63,3,1,2,1,STRIKE,6,0,0,72,10,40,12,0,0
63,3,2,0,3,STRIKE,6,0,0,70,0,34,0,6,0
63,3,2,1,2,STRIKE,6,0,0,70,0,34,0,0,0
63,3,2,2,1,STRIKE,6,0,0,70,0,28,0,0,0
63,3,3,0,3,DEFEND,0,0,5,70,0,22,16,0,0
63,3,3,1,2,DEFEND,0,0,5,70,5,22,16,0,0
63,3,3,2,1,STRIKE,6,0,0,70,10,22,16,0,0
63,3,4,0,3,DEFEND,0,0,5,64,0,16,11,5,0
63,3,4,1,2,DEFEND,0,0,5,64,5,16,11,5,0
63,3,4,2,1,STRIKE,6,0,0,64,10,16,11,5,0
63,3,5,0,3,STRIKE,6,0,0,63,0,15,16,0,0
63,3,5,1,2,STRIKE,6,0,0,63,0,9,16,0,0
63,3,5,2,1,STRIKE,6,0,0,63,0,3,16,0,0
